,Title,Topic,Title Length,Title Parsed,Title Parsed Length,Topic Codes
843,Prime and Composite Numbers | Mathematics Grade 4 | Periwinkle,Indices,62,composite prime,15,7
844,Addition of Numbers with Carrying | Maths For Class 2 | Maths Basics For CBSE Children,Number Patterns,86,addition basics children,24,3
845,"Intersection of Sets, Union of Sets and Venn Diagrams",Sets,53,venn union set diagram intersection,35,0
846,Class 5 || Maths || Multiplication,Factors and Multiplication,34,multiplication,14,4
847,Finding more angles | Angles and intersecting lines | Geometry | Khan Academy,Angles,77,angle find geometry intersect line,34,8
848,Lesson 1. Number Patterns | Maths Session for Grade 08,Number Patterns,54,pattern session,15,3
849,"Intersection of Sets, Union of Sets and Venn Diagrams",Sets,53,venn union set diagram intersection,35,0
850,Learning about Area | #aumsum #kids #science #education #children,Perimeter,65,kid education children area science aumsum,42,9
851,What are Rational Numbers? | Number System Concept | Don't Memorise,Operations of Whole Number,67,memorise dont rational concept system,37,2
853,How to Use the Inverse Method to Solve a Linear Equation? | Don't Memorise,Algebra Expression,74,memorise linear dont solve method use,37,5
854,Simple Math Tricks You Weren\u2019t Taught at School,Sets,52,simple \ut trick teach,22,0
855,Grade 8 Numeric patterns Part 1,Number Patterns,31,numeric pattern,15,3
856,Algebraic Expressions - Class 8 Math,Algebra Expression,36,algebraic expressions,21,5
857,Digestion in Human Beings 3D CBSE Class 7 Science (www.iDaaLearning.com,Operations of Whole Number,71,science,7,2
858,Weathering | Class 7 Geography | iKen,Indices,37,weather,7,7
859,Lesson 1. Number Patterns | Maths Session for Grade 08,Algebra Expression,54,pattern session,15,5
861,9 Incredible Science Facts You Probably Didn't Learn At School,Operations of Whole Number,62,probably facts incredible science didnt,39,2
862,Angles - Types and definition - Mathematics for kids,Angles,52,angle kid definition type,25,8
863,Unitary Method | Mathematics Grade 4 | Periwinkle,Operations of Whole Number,49,method,6,2
864,Lesson 5. Algebraic Expressions | Maths Session for Grade 08,Algebra Expression,60,algebraic expressions session,29,5
865,Area | Mathematics Grade 5 | Periwinkle,Angles,39,area,4,8
866,Which are the Different Types of Angles? | Don't Memorise,Angles,57,memorise angle type dont,24,8
867,Algebraic Expressions,Algebra Expression,21,algebraic expressions,21,5
868,Math Antics - Angle Basics,Angles,26,angle basics,12,8
869,Concept Of Multiplication | Mathematics Grade 1 | Periwinkl,Factors and Multiplication,59,periwinkl concept multiplication,32,4
870,INTRODUCTION TO SETS || GRADE 7 MATHEMATICS Q1,Sets,46,q set,5,0
871,"Introduction to ratios | Ratios, proportions, units, and rates | Pre-Algebra | Khan Academy",Sets,91,rat proportion prealgebra ratios,32,0
872,"Pre School Learning For Kids | Animals, Birds, Animal Sounds, Fruits, Flowers, Vegetables",Factors and Multiplication,89,kid pre sound,13,4
874,INTRODUCTION TO INTEGERS | GRADE 6,Directed Numbers,34,integers,8,6
875,Math Antics - Long Division,Perimeter,27,division,8,9
876,"Q 3, Ex 11.2 - Perimeter and Area - Chapter 11 - Maths Class 7th - NCERT",Perimeter,72,q ncert area ex perimeter,25,9
877,Part-1 : Algebraic Expressions & Identities | Mathematics | Class 8 | CBSE Syllabus,Algebra Expression,83,syllabus identities expressions algebraic,41,5
878,What are Rational Numbers? | Number System Concept | Don't Memorise,Directed Numbers,67,memorise dont rational concept system,37,6
879,"Point, Line, Line Segment, Ray, Angle | Mathematics Grade 3 | Periwinkle",Angles,72,angle point line,16,8
880,Class-7 | Multiplication of Algebraic Expression | Algebraic Expression by ajay sir,Algebra Expression,83,algebraic expression multiplication,35,5
881,01 - What is Absolute Value and Negative Numbers,Directed Numbers,48,negative value,14,6
882,Symmetrical & Non Symmetrical Shapes,Symmetry,36,symmetrical shape,17,1
883,Angles - Types and definition - Mathematics for kids,Angles,52,angle kid definition type,25,8
884,Full Lesson : Algebraic Expressions | Mathematics | Class 8 | AP&TS Syllabus,Algebra Expression,76,syllabus full apts algebraic expressions,40,5
885,"Whole Numbers, Unit 1, Mathematics Class 4th",Operations of Whole Number,44,whole unit,10,2
886,"Pre School Learning For Kids | Animals, Birds, Animal Sounds, Fruits, Flowers, Vegetables",Perimeter,89,kid pre sound,13,9
887,"Factorisation using identities | Part 1/3 | English | Class 8"",",Algebra Expression,63,english factorisation use identities,36,5
888,Triangle angle example 1 | Angles and intersecting lines | Geometry | Khan Academy,Angles,82,angle example triangle geometry intersect line,46,8
889,Addition of Fractions | Mathematics Grade 5 | Periwinkle,Operations of Whole Number,56,addition fraction,17,2
890,Learning Factors | Mathematics Grade 4 | Periwinkle,Indices,51,factor,6,7
891,Factors and Multiples - 07,Sets,26,multiples factor,16,0
892,6th maths Term-3 Ch-4 Symmetry | Introduction | Samacheer 2021,Symmetry,62,term symmetry,13,1
893,Understand and Learn the Rules of Positive and Negative Numbers,Directed Numbers,63,positive understand negative rule,33,6
894,Area | Mathematics Grade 5 | Periwinkle,Perimeter,39,area,4,9
895,Prime Factorisation | Mathematics Grade 5 | Periwinkle,Factors and Multiplication,54,factorisation prime,19,4
896,Math Antics - Long Division,Angles,27,division,8,8
897,Greatest common factor exercise | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,84,factor common multiples prealgebra exercise,43,4
898,Whole Numbers | Class 6 | Maths | CBSE | ICSE | FREE Tutorial,Operations of Whole Number,61,whole free icse tutorial,24,2
899,Numeric and geometric patterns,Number Patterns,30,numeric pattern,15,3
900,Baby Jenny Has Fun Learning to Swim with Wolfoo - Kids Stories About Baby Jenny | Wolfoo Channel,Angles,96,channel kid,11,8
901,Subtracting Integers | How to Subtract Positive and Negative Integers,Directed Numbers,69,positive negative subtract integers,35,6
902,Dividing Whole Numbers and Applications 4,Operations of Whole Number,41,whole divide,12,2
903,Adding/subtracting negative numbers | Pre-Algebra | Khan Academy,Directed Numbers,64,prealgebra negative,19,6
904,Identifying symmetrical figures  | Math | 4th grade | Khan Academy,Symmetry,66,symmetrical figure,18,1
905,INTRODUCTION TO INTEGERS | GRADE 6,Sets,34,integers,8,0
906,Math Antics - Angle Basics,Angles,26,angle basics,12,8
907,Math Antics - Order Of Operations,Perimeter,33,order operations,16,9
908,Grade 8 - Mathematics - Algebraic Expression 1 / WorksheetCloud Online Lesson,Algebra Expression,77,algebraic expression online worksheetcloud,42,5
909,What is Symmetry? || Symmetry || Grade 6,Symmetry,40,symmetry,8,1
910,Patterns in sequences 1 | Linear equations | Algebra I | Khan Academy,Number Patterns,69,linear algebra sequence pattern equations,41,3
911,Perimeter | Class 6 | Maths | CBSE | ICSE | FREE Tutorial,Perimeter,57,free icse tutorial perimeter,28,9
912,Maths Symmetry part 1 (Introduction) CBSE Class 6 Mathematics VI,Symmetry,64,vi symmetry,11,1
913,"""4 Types of Angles",Angles,18,angle type,10,8
914,Phonics Chapter 1 : Sounds of Alphabets | Learn Phonics  | Phonics Classroom Teaching,Indices,85,sound classroom teach phonics alphabets,39,7
915,Lesson 4. Factors and Multiples (Part I) | Maths Session for Grade 07,Factors and Multiplication,69,multiples factor session,24,4
916,Area | Mathematics Grade 5 | Periwinkle,Perimeter,39,area,4,9
917,Introduction to Fractions | #aumsum #kids #science #education #children,Sets,71,kid education fraction children science aumsum,46,0
918,Lesson 7. Factors | Maths Session for Grade 08,Algebra Expression,46,factor session,14,5
919,Understand and Learn the Rules of Positive and Negative Numbers,Directed Numbers,63,positive understand negative rule,33,6
920,Perimeter | Maths for Kids | Grade 4 | Periwinkle,Symmetry,49,kid perimeter,13,1
921,How to Use the Inverse Method to Solve a Linear Equation? | Don't Memorise,Algebra Expression,74,memorise linear dont solve method use,37,5
922,Decimals - Review | Mathematics Grade 5 | Periwinkle,Perimeter,52,decimals,8,9
923,"Air, Water And Weather | Science Grade 3 | Periwinkle",Indices,53,weather science,15,7
924,Multiples vs. Factors | What are Multiples and Factors? | Math with Mr. J,Factors and Multiplication,73,multiples mr factor j,21,4
925,Part-1 : Rational Numbers | Mathematics | Class 8 | CBSE Syllabu,Directed Numbers,64,rational,8,6
926,Algebra Basics: Laws Of Exponents - Math Antics,Operations of Whole Number,47,basics algebra laws exponents,29,2
927,Clauses | English Grammar & Composition Grade 5 | Periwinkle,Directed Numbers,60,english composition grammar,27,6
928,Prime factorization exercise | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,81,factor prime factorization multiples prealgebra exercise,56,4
929,ALGEBRAIC EXPRESSIONS & EQUATIONS | GRADE 6,Algebra Expression,43,algebraic expressions equations,31,5
930,Grade 7 Math Q1 Ep1: Sets,Sets,25,q set,5,0
931,3 Types of Rocks | #aumsum #kids #science #education #children,Angles,62,kid education children rock type science aumsum,47,8
932,Simple Math Tricks You Weren\u2019t Taught at School,Perimeter,52,simple \ut trick teach,22,9
933,"Negative exponents | Exponents, radicals, and scientific notation | Pre-Algebra | Khan Academy",Indices,94,negative exponents notation prealgebra scientific,49,7
934,Area and Perimeter for Kids || How To Find Perimeter || Maths Concept for kids || Telugu,Perimeter,88,kid find area concept perimeter,31,9
935,Integers | Ap&TS syllabus Class 6 Maths | Full lesson,Indices,53,syllabus full apts integers,27,7
936,How to become a Math Genius.\u2714\ufe0f How do genius people See a math problem! by mathOgenius,Algebra Expression,96,problem people genius,21,5
937,What is a Universal Set? | Don't Memorise,Sets,41,memorise set dont,17,0
938,Adding Integers | How to Add Positive and Negative Integers,Directed Numbers,59,positive negative add integers,30,6
939,Tens and Ones | Maths for Kids | Kindergarten Maths School Syllabus | Maths For Pre School,Directed Numbers,90,kid ones tens pre syllabus,26,6
940,Rounding The Numbers | Mathematics Grade 5 | Periwinkle,Operations of Whole Number,55,round,5,2
941,What is Algebra? | Don't Memorise,Algebra Expression,33,memorise algebra dont,21,5
942,"Line of symmetry (2D shapes) : used \""paper-cut-out shape\"" to explain",Symmetry,70,shape line use symmetry,23,1
943,STD-8 PERIMETER & AREA OF COMBINED SHAPES (TN,Perimeter,45,shape perimeter std area,24,9
945,u2705 3 Simple and amazing Questions Only a Genius Can Answer-Intelligence Test (IQ) | part-,Perimeter,92,question simple test genius,27,9
946,Lesson 1. Perimeter |  Maths Session for Grade 10 #DPEducation #Grade10Maths #perimeter,Perimeter,87,session perimeter,17,9
947,Number sets 1 | Fractions | Pre-Algebra | Khan Academy,Operations of Whole Number,54,prealgebra fraction set,23,2
948,General term of a number pattern(Grade 8 - Mathematics,Number Patterns,54,term,4,3
949,Math Antics - Order Of Operations,Number Patterns,33,order operations,16,3
950,Algebra Grade 8 Tutorial,Algebra Expression,24,algebra tutorial,16,5
951,"Cylinder volume and surface area | Perimeter, area, and volume | Geometry | Khan Academy",Angles,88,geometry perimeter volume area,30,8
952,Grade 7 Science Unit 5 | Acids and Bases,Sets,40,science unit,12,0
953,Parts of Speech | English Grammar & Composition Grade 4 | Periwinkle,Number Patterns,68,english composition grammar,27,3
954,Symmetry - (CBSE Grade: 06 Maths),Symmetry,33,symmetry,8,1
955,Angles | Mathematics Grade 5 | Periwinkle,Angles,41,angle,5,8
957,Symmetry full chapter | Mathematics | Class 6 | CBSE Syllabus,Symmetry,61,syllabus full symmetry,22,1
958,Algebra Basics: What Is Algebra? - Math Antics,Angles,46,basics algebra,14,8
959,Prime numbers | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,66,multiples prealgebra factor prime,33,4
960,Q 3 - Ex 13.2 - Symmetry - NCERT Maths Class 6th - Chapter 11,Symmetry,61,q ex ncert symmetry,19,1
961,Level 1 Exponents,Indices,17,exponents level,15,7
962,Best English Stories Compilation For Kids | 17 Short Moral Stories Collection | Periwinkle,Sets,90,english kid,11,0
963,Operations on Decimal Numbers | Class 1 to 5 Mat,Operations of Whole Number,48,operations decimal,18,2
964,Adding and Subtracting Integers Using a Simple Method,Directed Numbers,53,subtract simple integers method add use,39,6
965,Measuring angles in degrees | Angles and intersecting lines | Geometry | Khan Academy,Angles,85,angle measure geometry intersect degrees line,45,8
966,7 Effective Tips & Tricks In 1 Video | Mathematics study tips | Super Tips to Score 100% in Math,Algebra Expression,96,video tip study trick,21,5
967,"Lesson 4. Directed Numbers | Maths Session for Grade 08"",",Directed Numbers,57,direct session,14,6
968,Finding LCM using prime factorisation,Factors and Multiplication,37,factorisation prime find lcm use,32,4
969,Number Patterns Grade 8,Number Patterns,23,pattern,7,3
970,Introduction to rational and irrational numbers | Algebra I | Khan Academy,Operations of Whole Number,74,algebra irrational rational,27,2
971,Maths Help - 35.  Addition & Subtraction of Directed Numbers,Directed Numbers,60,addition direct subtraction,27,6
972,Grade 6  - Mathematics - Rotational Symmetry - WorksheetCloud Video Lesson,Symmetry,74,video rotational worksheetcloud symmetry,40,1
973,"Pre School Learning For Kids | Animals, Birds, Animal Sounds, Fruits, Flowers, Vegetables",Indices,89,kid pre sound,13,7
974,What Is Matter? - The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz,Perimeter,85,kid videos,10,9
975,Dividing positive and negative numbers | Pre-Algebra | Khan Academy,Directed Numbers,67,positive divide prealgebra negative,35,6
976,Grade 8 Geometry,Perimeter,16,geometry,8,9
977,Basic fractional exponents | Exponent expressions and equations | Algebra I | Khan Academy,Indices,90,algebra basic exponents expressions equations,45,7
978,What are Exponents? | Don't Memorise,Indices,36,memorise exponents dont,23,7
979,Algebraic Expressions - Class 8 Math,Algebra Expression,36,algebraic expressions,21,5
980,Grade 6 Science Lesson Sinhala medium|Science Channel Bro,Sets,57,channel sinhala science,23,0
981,Introduction to square roots | Numbers and operations | 8th grade | Khan Academy,Operations of Whole Number,80,root operations square,22,2
982,Introduction - Algebraic Expressions and Identities - Chapter 9 - NCERT Class 8th Maths,Algebra Expression,87,algebraic ncert expressions identities,38,5
983,u2705 3 Simple and amazing Questions Only a Genius Can Answer-Intelligence Test (IQ) | part-1,Perimeter,93,question simple test genius,27,9
984,Algebra - How To Solve Equations Quickly,Directed Numbers,40,solve algebra equations,23,6
985,Multiples | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,44,multiples,9,4
986,Prime and Composite Numbers | Mathematics Grade 4 | Periwinkle,Directed Numbers,62,composite prime,15,6
988,"Perimeter and area: the basics | Perimeter, area, and volume | Geometry | Khan Academy",Perimeter,86,area geometry basics volume perimeter,37,9
989,Introduction to Fractions | #aumsum #kids #science #education #children,Factors and Multiplication,71,kid education fraction children science aumsum,46,4
990,ctors and Multiples - Playing with Numbers | Class 6 Maths,Factors and Multiplication,58,multiples,9,4
991,Lesson 3. Operations on whole numbers | Maths Session for Grade 07,Operations of Whole Number,66,whole operations session,24,2
993,Grade 7 maths lessons sinhala lesson 2,Sets,38,lessons sinhala,15,0
994,Algebra Basics: What Is Algebra? - Math Antics,Algebra Expression,46,basics algebra,14,5
995,Intro to Symmetry (Part 1) | What is Symmetry? | Lines of Symmetry,Symmetry,66,intro line symmetry,19,1
996,Lesson 11. Symmetry | Maths Session for Grade 08,Symmetry,48,session symmetry,16,1
997,Algebra Basics: The Distributive Property - Math Antics,Operations of Whole Number,55,basics algebra,14,2
998,O/L Science short lessons || science mart ,Indices,42,lessons science,15,7
999,"Abacus Class 1||easy learning Abacus||learning Abacus in tamil||Free abacus class""",Operations of Whole Number,82,abacus easy,11,2
1000,Rational Numbers,Operations of Whole Number,16,rational,8,2
1001,Division Properties | Mathematics Grade 3 | Periwinkle,Indices,54,division properties,19,7
1002,Factors and Multiples | Mathematics Grade 5 | Periwinkle,Factors and Multiplication,56,multiples factor,16,4
1003,Fractions I - Grade 8 - 13th lesson - English Medium - Sri Lankan National Curriculum,Algebra Expression,85,english lankan curriculum fraction national sri medium,54,5
1004,"Symmetrical And Asymmetrical Shapes | Math | Grade-3,4 | Tutway |",Symmetry,65,symmetrical shape tutway,24,1
1005,"Word Problems Addition and Subtraction of Capacities, Litres, Millilitres | Maths For Class 2",Operations of Whole Number,93,problems word addition subtraction,34,2
1006,Lesson 3. Mathematical Operations on Whole Numbers | Maths Session for Grade 06,Operations of Whole Number,79,whole operations mathematical session,37,2
1008,"Q 2, Ex 11.1 - Perimeter and Area - Chapter 11 - Maths Class 7th - NCERT",Perimeter,72,q ncert area ex perimeter,25,9
1009,Measure Length | Mathematics Grade 1 | Periwinkl,Operations of Whole Number,48,measure length periwinkl,24,2
1010,Multiplying positive and negative numbers | Pre-Algebra | Khan Academy,Directed Numbers,70,positive multiply prealgebra negative,37,6
1012,Subtraction With Borrowing | Subtract | Maths For Class 2 | Maths Basics For CBSE Children,Indices,90,basics children subtract subtraction,36,7
1013,Introduction to Exponents | #aumsum #kids #science #education #children,Indices,71,kid education children exponents science aumsum,47,7
1014,Area of parallelograms intuition | Algebra I | High School Math | Khan Academy,Perimeter,78,algebra area,12,9
1015,Math Antics - Area,Perimeter,18,area,4,9
1016,"Sets: Union, Intersection, Complement",Sets,37,union set intersection,22,0
1017,Index Notation Exponent or Power | Mathematics Grade 5 | Periwinkle,Indices,67,power notation,14,7
1018,CARTESIAN COORDINATE SYSTEM || GRADE 8 MATHEMATICS Q1,Perimeter,53,q system,8,9
1019,Introduction to Sets for Roster Method & Set Builder Form | Algebra |  Math | Letstute,Sets,86,algebra builder roster set method letstute form,47,0
1021,How to classify numbers | Numbers and operations | 8th grade | Khan Academy,Directed Numbers,75,operations,10,6
1022,Find measure of vertical angles | Angles and intersecting lines | Geometry | Khan Academy,Angles,89,angle find measure geometry intersect line,42,8
1023,"Challenging perimeter problem | Perimeter, area, and volume | Geometry | Khan Academy",Perimeter,85,problem area geometry volume perimeter,38,9
1024,Lesson 10. Indices | Maths Session for Grade 08,Indices,47,indices session,15,7
1025,Learn The Clock | Telling the Time | Pebbles Learning Videos,Indices,60,time videos,11,7
1026,Lesson 5. Algebraic Expressions |  Maths Session for Grade 09,Algebra Expression,61,algebraic expressions session,29,5
1027,Circle And Its Construction | Mathematics Grade 5 | Periwinkle,Sets,62,circle,6,0
1028,Class 6 - Mathematics - Chapter 1 - Lecture 1 Introduction to sets - Allied Schools,Sets,83,set,3,0
1029,Finding the rule for the pattern,Number Patterns,32,rule pattern find,17,3
1030,Math Antics - Place Value,Operations of Whole Number,25,place value,11,2
1031,LCM by Prime Factorisation Method | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,68,lcm factorisation prime method,30,4
1032,Class 6 Maths Chapter 13 Symmetry Part 1,Symmetry,40,symmetry,8,1
1033,FASTEST WAY TO COVER THE SYLLABUS | 5 STUDY STRATEGIES | HOW TO STUDY IN EXAM TIME | MOTIVATION,Sets,95,syllabus time study,19,0
1034,Perimeter | Maths for Kids | Grade 4 | Periwinkle,Perimeter,49,kid perimeter,13,9
1035,Problem solving Venn Diagrams- 3 sets HL,Sets,40,venn problem set solve diagram,30,0
1036,Algebraic Expressions | Class 7 | Maths| CBSE | ICSE | FREE Tutorial,Algebra Expression,68,icse tutorial algebraic free expressions,40,5
1037,Number Patterns - Grade 8 - 1st lesson - English Medium - Sri Lankan National Curriculum,Number Patterns,88,english lankan curriculum national sri st pattern medium,56,3
1038,Introduction - Rotational Symmetry - NCERT Class 7th Maths Solutions,Symmetry,68,ncert rotational symmetry,25,1
1039,NCERT Exercise 13.2 : Question 1 - Symmetry | Class 6 Maths,Symmetry,59,question ncert exercise symmetry,32,1
1040,Algebra Basics: What Is Algebra? - Math Antics,Directed Numbers,46,basics algebra,14,6
1041,Reflection And Rotational Symmetry In Familiar 2D Shapes | Mathematics Grade 5 | Periwinkle,Symmetry,91,rotational shape symmetry,25,1
1042,Factorising Algebraic Expressions ( factoring / factorizing ,Algebra Expression,60,algebraic factor expressions,28,5
1043,What are Multiples of a Number? How are Factors and Multiples related? | Don't Memorise,Factors and Multiplication,87,memorise factor multiples dont,30,4
1044,Laws of Indices - Part 1 | Algebra | Maths | FuseSchool,Indices,55,fuseschool algebra indices laws,31,7
1045,"Statistics intro: Mean, median, and mode | Data and statistics | 6th grade | Khan Academy",Sets,89,intro statistics data,21,0
1046,Introduction to rational and irrational numbers | Algebra I | Khan Academ,Directed Numbers,73,algebra irrational rational,27,6
1047,Volume of a Cube | Mathematics Grade 5 | Periwinkle,Angles,51,volume,6,8
1048,"Whole Number Operations | Adding, Subtracting, Multiplying, and Dividing",Operations of Whole Number,72,divide subtract whole operations multiply add,45,2
1049,"Cylinder volume and surface area | Perimeter, area, and volume | Geometry | Khan Academy",Perimeter,88,geometry perimeter volume area,30,9
1050,Measuring Angles | Mathematics Grade 4 | Periwinkle,Angles,51,angle measure,13,8
1051,Lesson 12. Algebraic Expressions | Maths Session for Grade 07,Algebra Expression,61,algebraic expressions session,29,5
1052,Patterns and sequences 8th Grade Math,Number Patterns,37,sequence pattern,16,3
1053,Prime and Composite Numbers | Mathematics Grade 4 | Periwinkle,Number Patterns,62,composite prime,15,3
1054,Area | Mathematics Grade 5 | Periwinkle,Algebra Expression,39,area,4,5
1055,Order of operations: PEMDAS | Arithmetic properties | Pre-Algebra | Khan Academy,Operations of Whole Number,80,properties operations order arithmetic prealgebra,49,2
1056,Factors and Multiples made easy |Prime Factorization| Find factors of all numbers| Class 1 to 5,Factors and Multiplication,95,factor prime find easy factorization multiples,46,4
1057,Squares Of Numbers | Mathematics Grade 5 | Periwinkle,Number Patterns,53,square,6,3
1058,Sets Basics - Introduction | Don't Memorise,Sets,43,memorise basics set dont,24,0
1059,Constructing quadrilateral based on symmetry | Transformations | Geometry | Khan Academy,Symmetry,88,geometry transformations symmetry,33,1
1060,Math Antics - Scientific Notation,Indices,33,scientific notation,19,7
1061,Properties of HCF and LCM | Learn with BYJU'S,Factors and Multiplication,45,lcm hcf properties,18,4
1062,TN 9th STD Maths || Set Languages || Introduction  || New Syllabus -2018,Operations of Whole Number,72,syllabus set std,16,2
1063,Algebraic Expressions - Chapter 12 - Introduction - NCERT Class 7th Maths Solutions,Algebra Expression,83,algebraic ncert expressions,27,5
1064,What is a Sequence? (GMAT/GRE/CAT/Bank PO/SSC CGL) | Don't Memorise,Number Patterns,67,memorise sequence dont,22,3
1065,"Ascending Order, Descending Order, Join The Dots | Maths For Class 2 | Maths Basics For CBSE",Number Patterns,92,basics order,12,3
1066,CERT Grade 8 || CBSE Class 8 - Algebraic Expressions and Identities Introduction in Tami,Algebra Expression,88,algebraic expressions identities,32,5
1067,Grade 8 Numeric Patterns Part 2,Number Patterns,31,numeric pattern,15,3
1068,"The REAL Answer To The Viral Chinese Math Problem \""How Old Is The Captain?",Angles,75,problem,7,8
1069,Number Counting | Counting in Tens and Ones | Maths For Class 2 | Maths Basics For CBSE Children,Operations of Whole Number,96,basics children tens ones,25,2
1070,Laws of Indices - Part 1 | Algebra | Maths | FuseSchool,Indices,55,fuseschool algebra indices laws,31,7
1072,Symmetry | Class 7 | Maths| CBSE | ICSE | FREE Tutorial,Symmetry,55,free icse tutorial symmetry,27,1
1073,"""Q 2 - Ex 2.2 - Linear Equations in One Variable - NCERT Maths Class 8th - Chapter 2",Perimeter,84,linear q ncert one variable ex equations,40,9
1074,Math Antics - Volume,Perimeter,20,volume,6,9
1075,Math Antics - Number Patterns,Sets,29,pattern,7,0
1076,How to Subtract Negative Numbers | Subtracting Negative Numbers,Directed Numbers,63,negative subtract,17,6
1077,Understanding Patterns | Mathematics Grade 1 | Periwinkle,Symmetry,57,understand pattern,18,1
1078,How to Divide a Decimal by a Decimal | Math with Mr. J,Operations of Whole Number,54,mr divide decimal j,19,2
1079,Patterns with Numbers | Maths For Class 2 | Maths Basics For CBSE Children,Number Patterns,74,basics children pattern,23,3
1080,Indices with Example,Indices,20,indices example,15,7
1081,Order of Operations | PEMDAS | 5th Grade Math (Part 1,Operations of Whole Number,53,order operations,16,2
1082,NCERT Grade 7 || CBSE Class 7 - Symmetry Introduction in Tamil,Symmetry,62,ncert symmetry,14,1
1083,Rules Of Divisibility | Mathematics Grade 4 | Periwinkle,Sets,56,divisibility rule,17,0
1084,"Area of an equilateral triangle | Perimeter, area, and volume | Geometry | Khan Academy",Perimeter,87,triangle area geometry volume perimeter,39,9
1085,Introduction to Fractions | #aumsum #kids #science #education #children,Operations of Whole Number,71,kid education fraction children science aumsum,46,2
1086,"Understand Points, Lines, Rays, Segments & Angles in Geometry  - [7]"",",Angles,70,understand angle point geometry line,36,8
1087,"Perimeter, And Area Of Triangle | Grade-4,5 | Tutway",Perimeter,52,triangle perimeter tutway area,30,9
1088,Angle Pairs 8th Grade Math,Angles,26,angle,5,8
1089,Symmetry Part- 1 || 5th std Maths Syllabus || Exercises and Activities || Easy to Learn Math,Symmetry,92,easy std symmetry syllabus exercise activities,46,1
1090,Math Antics - Adding & Subtracting Integers,Directed Numbers,43,add integers subtract,21,6
1091,"What are Multiples of a Number? How are Factors and Multiples related? | Don't Memorise"", ",Factors and Multiplication,90,memorise factor multiples dont,30,4
1092,Properties of Whole Numbers - Part 1 | Don't Memorise,Operations of Whole Number,53,whole dont memorise properties,30,2
1093,Patterns and sequences 8th Grade Math,Number Patterns,37,sequence pattern,16,3
1094,"Earth Science for Kids - Solar System, Weather, Fossils, Volcanoes & More - Rock 'N Learn",Sets,89,solar kid rock earth science weather system,43,0
1095,Learning Factors | Mathematics Grade 4 | Periwinkle,Sets,51,factor,6,0
1096,Math Antics - Perimeter,Perimeter,23,perimeter,9,9
1097,Math Antics - Number Patterns,Operations of Whole Number,29,pattern,7,2
1098,Measuring Angles | Mathematics Grade 4 | Periwinkle,Indices,51,angle measure,13,7
1099,u2730 Symmetry craft ideas | Maths | How to make a symmetry paper crafts | Mathematics |,Symmetry,88,symmetry,8,1
1100,Introduction to Sets for Roster Method & Set Builder Form | Algebra |  Math | Letstute,Sets,86,algebra builder roster set method letstute form,47,0
1101,Symmetry | Rotational Symmetry | Class 6,Symmetry,40,rotational symmetry,19,1
1102,Fractions - Lowest Terms | Mathematics Grade 4 | Periwinkle,Angles,59,fraction term,13,8
1103,Math Antics - Ratios And Rates,Angles,30,rat ratios,10,8
1104,Lesson 1. Circles | Maths Session for Grade 06,Indices,46,circle session,14,7
