,divisible so definitely this is not divisible by 6 last digit is 8 divisible by 2 digital root 3 3 plus 4 7 7 plus 8 15 that means 6 6 means divisible by 3 then definitely this is divisible by 6 as well last digit is 4 divisible by two digital root eight eight plus four twelve twelve means three it's divisible by three so definitely it's divisible by six last digit is 4 divisible by 2. now the digital root 7 plus 4 is 11 11 plus 4 15 that's 6. it's divisible by 3 that means divisible by 6 as well last digit is 5 not divisible by 2 1 plus 8 9 9 plus 5 14 14 means 5. it's not divisible by 3 so definitely it's not divided by 6. last digit is 6 that's even number yes it's divisible by 2. digital root 9 9 plus 6 15 that's 5 plus 1 6. it's divisible by 3 so that means it's divisible by 6 as well if the digital root is divisible by 3 the number is divided by 3. if the number is an even number it can be divided by 2 without a remainder all those numbers divisible by 2 and 3 without a remainder can be divided by 6 as well finding a number divided by 9 without a remainder so we did so far two three four ten five six now nine look at the following 
,multiples of nine all these multiples of 9 take 9 so digital root is 9 18 1 plus 8 digital root is 9 2 7 digital root is 9 36 3 plus 6 that's 9. so take any number 7 plus 1 8 plus 1 9 here 4 plus 4 8 8 plus 1 9 all multiples of 9 you get the digital root 9 so that means you can look at the digital root and see whether the number is divisible by 9 45 4 plus 5 that's nice 117 seven plus one eight eight plus one nine 135 eight and nine here seven plus one all these digital roots are nine ten 8 plus 1 9. so 9 is the digital root of all the above numbers so any number whose digital rule digital index or digital root is 9 it is divided by 9. select and write the numbers that is divisible by 6 without a remainder from the following numbers so have you identify whether this is divisible by 6 first check whether this is a 
,this is an even number this is not so it's not divisible by 6 690 it's an even number now we'll check the digital route 9 plus 6 15 that's 5 1 6 6 means it's divisible by 3 as well so 609 divisible by 2 and 3 that means divisible by 6. this one even number correct digital root 10 10 plus 3 13 13 plus 1 14 that means 4 plus 1 that's not divisible by 3. is an even number check whether this is divisible by three eight plus four twelve twelve plus one thirteen thirteen plus two fifteen so five 
,plus one six it's divisible by two and three that means divisible by 6 as well check the digital route 10 12 12 means it's divisible 774 even number digital road 14 
,plus 4 80 8 plus 1 9 so that's divisible by 3 as well 916 10 10 plus 6 16 that means 7 so not divisible by 3 4 plus 4 8 8 plus 1 9 it's divisible by 3 and 2. that's 
,divisible by 6. this one even yes then digital root nine ten sixteen six plus one seven so that's not divisible by three this one even number look at the digital root three three plus 7 10 10 plus 2 12. it's divisible by 3 as well as 2 so definitely divisible by 6. if a certain number is divided by another whole number without a remainder what you call that number that is a factor of the first number so what are factors if a number can be written as a multiple of two whole numbers they are 
,considered as factors of the first number take look take a look at 24 what are the factors if we take one that's 1 times 24 so 1 and 24 both are factors 2 is also a 
,factor 2 times 12. you can write the same thing as 3 times 8 4 times 6 and 6 times 4 again you can write this way so what are the factors of 24 1 2 3 4 6 8 12 24 so 
,all these numbers we call those are factors so you can create that number by multiplying the two numbers so those are factors write the set of factors of 36 1 times 
,36 2 times 18 3 times 12 4 times 9 6 times 6. so what are the factors of 36 always 1 and the number itself are factors 2 3 4 6 9 12 18 36 so these are the set of factors of 36 all numbers are there all factors are there write the set of factors of 60 1 times 60 2 times 30 divide by 2 and see when you divide by 3 you get 20. divide by 4 1 and for 20 that's 5 15 times 4 divided by 5 you get 12 and here divide by 6 you get 10. so what are the factors of 60 starting from 1 1 2 3 4 5 6 here and 
,then 10 12 15 20 30 and 60. so those are the factors of 60. now we'll look at what are prime numbers take a look at 2 what are the factors of two one and two so factors of two one and two take three one times three factors of 3 1 times 1 and 3. what about factors of 5 1 times 5 so you get 1 and 5. look at carefully what are the 
,factors seven means one and one times seven factors of here seven factors of seven you get one and 7 so take a look at all the factors 1 and the number itself so what are prime numbers if a number has only two factors and the factors are one and itself so those numbers are called prime numbers select and underline the number out of the following numbers divided by 9 without a remainder so how you identify a number is divisible by 9 the digital root should be nine so we'll look at three plus six nine that means divided by nine so one plus five twelve twelve plus six eighteen eight plus one nine two plus two four four plus four eight eight plus one nine 
,that's divisible by nine nine and nine eighteen eight plus one nine two plus three five 5 7 12 12 6 18 that's also divisible by 9. take a look at this one 4 plus 5 9 9 plus nine eighteen that's also divisible by nine here also eight plus one nine this one eight eight plus eight sixteen sixteen plus two eighteen eighteen means nine all the numbers are divisible by nine this one ten ten plus eight eighteen eight plus one nine seven plus seven fourteen 14 plus 1 15 15 means 5 plus 1 6 is not divisible by 9. so all the other numbers except 177 is divisible by 9. select and underline the numbers out of the following numbers divided by 6 and 9 without a remainder how you identify we have to check the digital root and this should be an even number because to check whether the number is divisible by 6 it should be definitely divided by 2. so definitely out of this we can cross out this because this is an odd number this is an odd number not divisible by 6 these numbers we can cross out now for the other numbers we have to check the digital root 10 10 plus 8 18 it's divisible by nine as well as six six plus two eight eight plus one nine nine is divisible by nine as well as 3. here 15 that means 5 plus 1 6 it's not divisible by 9 so you can't select that 7 plus 1 8 8 plus 2 10 10 plus 8 18 18 means 9 that's divisible by 9 as well as 6. this one 7 7 plus 8 15 15 means not divisible by 9 here 16 20 27 divisible by 9 as well as 6. 384 12 12 plus 3 15 15 means 1 plus 5 not divisible by 9. now we'll look at this question factors 24 glass marbles should be packed with similar number leaving any remainder write down all the ways it can be 
,done so you can do one glass marble in each 24 that means one packet two glass marbles in each two times twelve then you get two packets three glass marbles in each 
,three times eight so you can make eight packets four glass marble in each four times six and you get six packets eight glass marbles eight times three you get three 
,packets with six glass marbles six times 4 that's 4 here and with 12 12 times 2 24. so you can make two packets and with 24 again one packet here according to the above information the set of numbers that can be divided by 24 without a remainder so 1 2 3 4 and 6 12 what is 12 24 these are factors now we looked at prime numbers now what are composite numbers we'll take a look at 4 what are the factors of 4 1 into 4 2 times 2. so factors of 4 you can write 1 2 4 factors of 6 1 times 6 or 2 times 3. so what are the factors of 6 you can write 1 two three six one two three six what are the factors of eight eight means one times eight so eight you can write 
,2 times 4 as well so what are the factors of 8 you get 1 2 4 8. now take a look at all the factors here if a certain number has more than two factors it is a composite number prime factors you get only two factors one and the number itself so composite numbers you get more than two factors then we can identify that number is a composite number write the set of composite numbers less than 21 so not prime numbers so one you can't take one just one factor is there two three four is a composite number five is a prime number 6 is a composite number 7 is prime 8 is composite 9 composite 10 11 is a prime number 12 is a composite 13 is prime 14 15 16 17 is prime 18 19 19 is prime 20 is the last number less than 21 means you can't write 21. so these are the composite numbers less than 21 finding prime factors of a number write number 24 in every way as a product of two numbers 1 times 24 2 times 12 3 times 8 4 times 6 so what are the prime factors out of these so write all the factors here we can write the factors of 24 is 1 2 3 4 6 8 12 24 out of these factors what are the prime factors the factors are prime numbers so what are the prime numbers there 2 3 that's all so prime factors of 24 is either 2 or 3 and write all the prime factors so you can write 2 and 3 and write 24 as a product of prime factors how can you write down as a product of prime factors you can take the number divide by only the prime numbers take 2 you get 12. another 2 6 2 3 so 3 1 till you get 1 you have to divide now how many times you multiply by 2 2 2 2 and 1 3. or you can write how many twos three twos into one three so this is a product of prime factors 
,so 2 to the power 3 n 3. now take 36 and write down everywhere as a product of numbers 1 times 36 two times eighty three times twelve four times nine and six times six so what are the factors of 36 you can write 1 2 3 4 6 9 12 18 36 those are the factors out of the factors what are the prime factors 2 3 that's all 2 and 3. now product as prime factors how can you do you can divide by two two times eighteen again divide by two nine you have to divide by three now three times three and again 
,divide by 3 you get 1. so what are the factors 2 times 2 4 4 times 3 12 12 times 3 36 so here 2 times 2 times 3 times 3 or you can write 2 to the power 2 because twice are there and 3 to the power 2 here also twice are there so that's the value 36 as a product of prime factors right all the prime numbers from 1 to 40 starting from 2 3 5 7 9 10 11 12 13 14 15 16 17 is 5 18 19 20 21 22 23 23 24 25 26 27 28 29 a prime number 30 31 is a prime number 32 33 34 35 36 30 7 is a prime number 38 and 
,39 it's not and 40. so these are the prime numbers 1 to 40. write all the composite numbers from 1 to 30 composite means you get more than 2 factors one two three four five six seven is prime eight nine ten eleven 12 13 14 15 16 17 here 18 19 20 21 22 23 24 25 26 27 28 29 and 30 1 2 30 means you can include 30 as well so those are composite numbers finding highest common factor so we'll take the number numbers 18 and 30. now what are the factors of 18 it's one divisible by two so two is a factor it's divisible by three three is a factor three times six then four five six six times 3 7 8 9 times 2 then 10 11 all these again finally 18. so those are the 
,factors of 18. what are the factors of 30 starting from 1 divisible by 2. it's divisible by 3 3 times 10 4 5 5 times 6 also a factor 7 8 9 10 is a factor then 15 times 2 so 15 is a factor and 30. now what are the common factors of eighteen and thirty one two three six what else that's all so out of these what's the highest one highest common factor of 18 and 30 is 6. that's the highest one now take these two these three numbers 28 42 and 63 and see what's the highest common factor factors of 28 one it's divisible by two three three times no three four four times seven six seven eight nine ten and two times fourteen so fourteen is a factor 4 times 7 and then finally 28 factors of 42 what are the factors of 42 1 it's divisible by two three three times four thirty three times what three times uh fourteen four five six six times seven so seven is a factor eight nine ten eleven and if it's two you get twenty one and if it's three three times one three three times four fourteen is 
,a factor and what is 6 times 7 and again 42 last digit is 42. now what are the factors of 63 1 it's divisible by 3. so 3 times so 63 comes that's the last number 3 times 21 and what else 63 9 times 6 6 and 9 those are the factors of 63. now what are the common factors out of those we'll find out common ones one is common 2 is not 6 no 9 21 it's not common so only one so what's the highest common factor of this so you get only one so the highest common factor of 28 42 and 63 is 1. finding highest common factor using prime factors so this is another way of finding highest common factor find the highest common factor of 36 so we'll find out 36 you can divide by 2 18 divide by 2 now divide by 3 3 divided by three you get one two times two times three times three forty five divide and see you can divide by three divide by three again and divide by five you get one three times three times five fifty-four divide by 2 then divide by 3 3 3 2 times 3 3 3. now these are the factors prime factors so how we find out the highest common factor we'll find out the common ones and multiply what's common two is not common three yes you get three a common one that's all another three another three is common so you get three two times so the highest common factor we take three times three you get three comma twice so three times three that's 9. so how we find out the highest common factor using this way so you find out the prime factor separately and see what are the common ones for all the numbers and then you multiply those find the highest common factor of 64 960 divide by 2 divide by 2 again divided by 2 divided by 2 divided by 2 and 1. so what are the factors 2 2 1 2 3 4 5 six three four five six ninety six divided by three thirty two divided by two sixteen divided by 2 8 divided by 2 4 divided by 2 
,and again 1. so what are the factors 1 2 3 4 5 2 3 4 five and three sixty divide by two get thirty divided by two fifteen divided by three five divide by 5 you get 1. so what are the factors of 60 2 and 2 and 3 and 5. now what are the common factors we'll take what are common two another two then 3 is not common 5 is not common 
,only these two so what's the highest common factor 2 times 2 that's 4. find the highest common factor of 16 36 48 and 60. we'll divide and see 2 times 8 2 times 4 2 
,times 2 2 times 1. so 16 is 2 4 times 36 divided by 2. you get 18 divide by 2 again 9 divided by three three divided by three one two times two three times three 48 
,divided by two 24 divided by 2 12 divided by 2 6 3 3 1. so you get 1 2 3 4 2 3 four and three sixty divided by two thirty divide by two again fifteen divided by three that's five divided by 5 you get 1 2 times 2 times 3 times 5. now find out the highest one what's the highest one 2 is common another 2 is common what else that's 
,all so what's the highest common factor of 16 36 48 and 60 that's 2 times 2 4. now finding least common multiple finding the least common multiple of 4 6 eight what 
,are the multiples of four four times one four four times two eight four times three twelve four times four sixteen 4 times 5 20 24 28 you can write but we'll stop here we'll put three dots that means we it's continuing multiples of six six times one six times two twelve six times three eighteen six times four twenty four six times 5 30 36 42 we'll put three dots multiples of eight eight times one eight eight times two 16 24 8 times 4 32 8 times 5 40 48 like that it's continuing so what are 
,the common multiples of all these will identify common multiples what are the common ones 20 is not there can you see 24 and then what else so 48 comes here so when 
,you do this 48 next you will get 48 like that so 48 also common for all so this is like 24 48 like that common months we need the lowest one so least one is 24 so that's the least common multiple of four six eight so 24 is the answer find the least common multiple of four six eight from prime factors so how can you write four two times two six two times three eight two times two times two so this is how we can do so how many 2s are there here 2 2's here 2 1 and 3 1 here 2 to the power 3 there so we are taking different numbers with maximum power greatest power of them so if you take two's maximum is 2 to the power 3 and then you get 3 here so that's the least common multiple now what's 2 to the power 3 that's 8 times 3 you get 24. so previous one also we got 24 as the least common multiple and there's another way 
,of doing that so how you do that way so here we will try it out you can write down the numbers at once and try to divide by prime numbers so that you get once 2 times two four six divided by two you get three eight divided by two four now you can divide by two this is one three you can't divide so you write down the number as it is this is four so you can divide by two now there's another two so you can divide by two one you can write as it is 3 you can't divide right as it is and this becomes 1. now 3 is there you need to divide this by 3 so you get all ones till you get once you can divide so from this also you can find out the lowest common multiple so 2 times 2 4 4 times 2 8 8 times 3 24 so that way is easier to find out the lowest common multiple find the least common multiple dividing method of the numbers four six eight so here that's what i did before so what are the numbers we got 2 2 2 3. so we get 2 2 2 3. so 2 times 2 4 4 times 2 8 8 times 3 24 as the least common multiple so here divide by prime numbers so here 2 also possible 3 5 7 like that least common multiple of 4 6 8 is 24 so the answer you get as the least common multiple should be eligible for dividing without a remainder by each number again number given find the least common multiple of 72 9608 so we'll use the factor method first 72 divide by 2 36 divided by 2 you get 18 and 9. now you can divide by 3. so what are the factors of 72 1 2 3 and 2 3's 2 to the power 3 3 squared 96 we'll do 96 divided by 2 48 divided by 2 divided by two again till you get one one two three four five and one three two to the power five and one three hundred and eight you 
,need to divide by three till you get one two twos and three threes two twos and three threes now we take the highest power with different numbers when you consider 2 2 to the power 5 is the maximum when you take 3 3 to the power 3 is the maximum so that's the least common multiple 2 to the power 5 32 3 to the power 3 3 times 3 times 3 27 now when you multiply these two what you get 32 into 27 20 and 7 21 plus 1 22 when you add it 964. so what's the least common multiple of 72 968 is 964 find least common multiple of 64 96 and 128 now divide by 2 32 divide by 2 again 16 divided by 2 here 8 4 2 and 1. so how many tools 1 2 3 4 5 6 2 to the power 6. 96 48 divided by 2 24 divided by 2 12 6 3 one two three four five two to the power five and three 168 is not 120 868 2 8 4 42 21 7 and 1 so 2 to the power 3 and 3 and 7. 
,now when you take different numbers when you take 2 the maximum power is 2 to the power 6. if you take 3 that's 1 power 1 and 7 2 to the power 6 is 60 4 3 times 7 21 so 64 times 21 what's the answer add it together thousand three hundred and forty four is the lowest or least common multiple fine least common multiple of 14 28 42 by applying dividing method so you write the numbers at once and divide 2 times 7 2 times 14. 2 times 24 again you can divide by 2 but 7 you can't divide so you write as it is 7 you're 12. again you can divide by 2 you get 6. again divide by 2 you get 3. now you can divide by 3 and finally by 7 till you get 1. so what's the least common multiple you multiply all these numbers two times two times two three four and three and seven two times two four four times two eight eight times two sixteen times twenty one what's sixteen times twenty one twenty and one here and 16 you get 336. that's the least common multiple look at this question the bells a in every 20 minutes be in every 30 minutes and see in every 40 minutes respectively rings if all three bells were ringing at the same time at eighteen when we all three bells be wrong once again so if you take multiples of twenty just see you get 20 20 and 20 40 then 60 80 80 plus 20 hundred hundred plus 20 hundred and twenty like that 140 if you take every 30 minutes it's ringing then multiples of 30 30 60 60 30 90 90 30 120 120 plus 30 150 150 plus 30 180 so and if it's 40 minutes interval what are the multiples of 40 40 80 80 plus 40 120 and 40 160 200 like that now what's the lowest common one look at these values and see what's the lowest common value 
,is comma and the lowest one so that means after 120 minutes it will ring again so 120 minutes means how many hours divided by 60 you get two hours so what's the time again the bell is ringing eight for the first time and 8 plus 2 10 a.m so again the bell will ring at 10 a.m so this is one way of solving this problem or you can do using factors 20 how can you write 2 times 10 10 again 2 and 5 30 how can you write 2 times three six six times five forty two times twenty again two times two ten two times two eight eight times five so forty those are the factors so how do you find out the lowest one when you take least common multiple of twenty thirty forty this is 2 to the power 2 and 5 here 2 3 5 here 2 to the power 3 and 5. so when you take power 2 to the power 3 is the maximum 3 to the power 1 is the maximum and 5 
,to the power 1. 2 to the power 3 is 8 8 times 3 24 24 times 5. 120 so least common multiple also 120 so which one is easy this way is easier than finding multiples so we'll find using least common multiple finding factors and take the highest factor now we'll look at exercise in your textbook exercise 4.1 without dividing select the numbers which are divisible by 9 how we identify digital root if the digital root is 9 that means divisible by nine five plus four now so 504 is divisible by nine six plus five eleven eleven plus two thirteen thirteen means you can't five plus six eleven eleven plus seven eighteen that means yes it's divisible by nine six plus five eleven eleven plus 8 19 that's not possible 2 2 plus 4 6 6 plus 3 9 that's possible 1 plus 3 four four plus five nine nine plus one ten that's not possible 
,two plus seven nine nine plus one ten ten plus nine ninety that's not possible and the last one four plus five nine nine plus three twelve twelve plus six eighteen eighteen means yes it is divisible by s nine because the digital root is nine look at question number two without dividing select and write down the numbers which are divisible by three so what's the condition we find out the digital root if it is three six nine the number is divisible by three so we'll look at the digital root eight one eight plus one nine so nine means divisible so you can select eighty-one hundred and two one plus zero plus two you get three that's also divisible by 3 164 1 plus 6 plus 4 7 plus 4 11 11 means again 1 plus 1 that's 2. not divisible so you can't select that 189 10 18 that means 1 plus 8 9. so that's divisible by 3 189 352 3 5 2 8 8 plus 2 10 that means 1 plus 0 that's 1. so you can't select 352. 372 372 99 plus 3 12 12 means 1 plus 2 you get 3 that means okay 372 466 466 12 12 4. sixteen one plus six that's seven so you can't take 466 756 75 six eleven eleven plus seven eighteen one plus eight nine that's divisible by three so 756 is also okay 951 951 15 15 means one plus five that's also possible so 951 also divisible by 3 last one 1 plus 0 plus two plus nine ten twelve twelve means two plus one three that's also divisible by 3. so 1029 is divisible by 3. so these are the numbers that are divisible by three question number three 3 divides the number 6 5 something such as 2 digits suitable for the empty space so what's the condition the digital root should be 3 6 or 9. what's 6 plus 5 11 11 means 1 plus 1 that's 2. so you need one more to get the digital root 3 so you can put 1 here so 651 you get digital root three then another one if this is six also it's divisible by three how you get six what's the next number you need to add this is 2 3 4 5 6 4 digit number you have to add so what's the other number 6 5 4 check 11 11 plus 4 15 means 1 plus 5 you get 6 as a digital root so that's possible so either 1 or 4 you can put you can check like that till you get nine also possible four five six six another three you can put seven also then six plus five eleven eleven plus seven eighteen that means 9 that's also possible 1 4 and what's the other number 7 6 plus 3 so that's 7. question number 4 pencils were brought to be distributed among nimal's friends on his birthday party the number of pencils was less than 150 but close to it nimal observed that each friend could be given nine pencils what is the maximum number of pencils that maybe may have been brought so from this we identify the number should be divisible by nine and as well as it is less than 150 so what's the condition to identify whether it is divisible by 9 the digital root should be equal to 9 now we'll 
,check with first the number less than 150 means 149 and c what's the digital root 1 plus 4 plus 9. you get 13 plus 1 14 again 1 plus 4 that's 5. we'll take another number to see the pattern 148 1 plus 4 plus 8 13 that means 1 plus 3 you get 4 so likewise now you need to get digital root 9 what are the possibilities you are getting the next number three two one zero zero means that's divisible by nine so till you get this number you have to find out so 148 here so this becomes 147 146 145 144 so we'll check 144 what's the digital root of 144 1 plus 4 plus 4 you get 9 digital root 9 and the number is less than 150 so what is the number number is 144 pencils question number five the following quantities of items were brought to make gift packs to be given to the winners of a competition 131 exercise books 130 pencils 128 platinums and 131 ballpoint pens if each gift pack should contain three units of each item write down the minimum extra amount needed from each item so that means this these numbers should be divisible by 3. so we'll take the first one exercise book exercise books 131 what what's the digital root 1 plus 3 plus 1 4 4 plus 1 
,5. how you check whether the number is divisible by 3 the digital root should be three six nine so to get six here you need one more exercise book so need one more exercise book to get digital roots now we'll look at pencils pencils 130. then 130 pencils means 1 plus 3 plus 0 3 plus 1 4 digital root is 4 what should be the digital root to see the number is divisible by 6 you need 2 more so to get the number divisible by three you need two more pencils so here you need two more pencils there now we'll look at the next one 128 platinum pens 128 plating no what's the digital root of this 1 plus 2 plus 8 10 10 plus 1 11 that means 1 plus 1 you get 2. so you need digital root 3 so you need one more platinum so you need one more now what's the other one we did platinums now 131 ballpoint pens 131 ball point pence so what's the digital root there 1 plus 3 plus 1 4 4 plus 1 5 to get 6 you need one more ball point so those are the items that need extra to get a number divisible by 3 exercise 4.2 from the following select and write down the numbers which are divisible by 6 which are divisible by 4. so we'll do the first part divisible by 6. so what's the condition it should be any one number because it's divisible by 2 then if the digital root is 3 6 9 it's divisible by 3 then definitely it's divisible by 6. 
,so here we can cross out this one that's odd number this one this one those three because those are odd numbers not divisible by 2 now we'll take the digital root 1 
,62 1 plus 6 plus 2 9. so that means it's divisible by 2 as well as 3. so this is correct 912 9 plus 1 plus 2 12 12 means 2 plus 1 3 that's also correct 966 9 plus 6 
,plus 6 9 plus 6 15 15 plus 6 21 2 plus 1 3 that's also possible 2 1 one eight two plus one plus one plus eight twelve that's two plus one three it's also possible two four seven two two plus four six six plus seven thirteen thirteen plus two fifteen fifteen means 6 so that's also possible 3024 3 plus 0 plus 2 plus 4. four plus two six six plus three nine so that's also divisible by three and two three three naught eight three plus three plus zero plus eight eleven eleven plus three fourteen fourteen means one plus four that's five not divisible three three three two nine nine plus 2 11 that means 2 not divisible 4 800 is 4 plus 8 12 12 means 1 plus 2 3 that means it's divisible by 3 so these are the numbers divisible by 2 and 3 therefore it's divisible by 6. now we'll take part 2. now we want to check whether this is divisible by 4 how we identify whether this is divisible by 4 you have to take the last two digits 62 is it divisible by 4 4 times 1 4 for 22 that's not divisible so you can't take that 87 it's not divisible by 4 12 yes it's divisible by 4 so 912 is divisible by 4. 66 last two digits you have to check 4 times 1 4 26 it's not divisible this one 18 not divisible by 4 23 not divisible by 4 72 2 times 4 times 1 4 32 4 times 8 that's divisible by 4 so 2 4 7 2 is divisible by 4 41 again not divisible by 4 24 yes it is divisible by 4 4 times 6 so 3024 is also divisible by 4 0 8 yes divisible by four three three not eight thirty two yes it's divisible by four four thousand eight hundred years when you get zero zero it's divisible by four so the other number divisible by four is four thousand eight hundred so these numbers are divisible by four question number two write the following numbers in the appropriate column of the table given below a number may be written in both column 
,1 and 2 1 and 3. so you need to check number of which 4 is a factor that means divisible by 4 and here reason numbers of which 6 is a factor and give the reason so what's the reason to identify it's a factor of four last two digit last two digits should be divisible by four that's the condition for divisibility of 4 what about 6 what's the reason reason is it should be an even number it should be an even number and the digital root should be three six nine if it's satisfied we can say this 
,is divisible by six now we'll check each one 348 last two digits 48 so divisible by 4 now check whether it's divisible by 6 it's an even number what's the digital root eight plus four twelve twelve plus three twelve plus three fifteen fifteen means one plus five six so digital root is there so you can write this number again here 496 96 is it divisible by 4 4 times 2 yes it is divisible by 4 what about the digital root 9 plus 6 15 15 plus 4 19 so it's not divisible by three 288 yes it is divisible by four what about divisible by three even number okay but what's the digital root 8 and 8 16 16 plus 2 18 18 means 1 plus 8 9 that's okay so that's divisible by 3 as well so definitely it is divisible by 6 414 it's not divisible by last two digits not divisible by four what's a digital root four plus four eight eight plus one nine and also an even number it's divisible by six thousand twenty four it's divisible by 20 uh it's divisible by 4 because last two digits 24 divisible by 4. digital root 4 plus 2 6 6 plus 1 7 it's not divisible by 3 so then it's not divisible by 6 as well this one 72 yes it's divisible by 4 4 times 1 4 32 that's eight so thousand two hundred and seventy two then digital root seven plus two nine nine plus two eleven eleven plus one twelve two plus one three so that's divisible by 6 
,as well 306 not divisible by 4 because last 2 digit is not divisible by 4. digital root 6 plus 3 9 so that means divisible by 6 then we'll do the next one there so the other two numbers 200 other three numbers 258 58 not divisible by 4. so you can't write it there digital root 8 plus 2 10 10 plus 5 15 15 means 1 plus 5 6 yes it 
,is divisible by it is divisible by 6 so 258 so you can write down the same reason that we did before thousand eight last two digits eight that's divisible by 4. so that is here digital root 9 9 is divisible by 6 as 9 means divisible by 3 so definitely divisible by 6 as well 0 0 there are last two digits that means divisible by 4 digital root six plus seven thirteen three plus one four that's not divisible by three the number six two something and then six is divisible by both 4 and 6 find the suitable digit for the empty space what's the condition satisfy for 4 this should be the last two digits should be div divide by four this one six means divisible by six means which this should be an even number and the digital root should be 3 6 9. now it's easy to first find the digital root here 6 plus 2 plus 6 here 12 12 
,plus 2 fourteen fourteen means one plus four you get five you need to get digital root six or what's the other one nine possible when you take now you need one more 
,to get six so if we put 1 here definitely it's divisible by 4 as well because 16 is divisible by 4. can we find out another digit you need 3 not 3 4 to get 9 46 is it divided by 4 you can't put 4 there so only possibility is 6 2 1 6 question number four a drill team arranges themselves in the following manner on one location they form lines consisting of three members each and on another occasion line consisting of four members they also make circles of nine members each if the drill team must have more than 250 members more than 250 members use the divisibility rule to find the minimum number of members that could be in the t so that means the number 
,should be divided by 3 divided by 4 and divided by 9 without a remainder so how we identify without a remainder here digital root should be nine here also possible how you get four divided by four last two digits should be divisible by four so we check last two digits now we'll take more than 250 so 2 5 is there we'll check up to 259 2 plus 5 you get 7. now you need another 2 to that so if this is 2 you get 252 but now check whether last two digits divisible by 4 4 times 1 and 4 times 3 you can divide that by 4 as well so digital root 9 so what's the number it can be 252. and it says minimum number you can find several numbers more than that so minimum number is 252. question number five determine whether 126 is divisible by 2 3 4 5 6 9 and 10. 126 it's an even number can divided by two how we identify for three digital root one plus two plus six nine so that's okay so that means divided by 3 as well next one last two digits these two digits not divided by 4 so not divided by 4. 5 how we identify 5 here last digit should be either 0 or 5 so not divided by 5 six how we identify with this divided by six even number digital root should be three six nine digital root is nine so that means definitely it's divided by 6 without a remainder how we identify it is divided by 9 digital root is 9 so that's correct you can divide by 9 is it divisible by 10 no last digit should be zero so this is not divided by 10. so this is the end of part 1 in your textbook so what's the 
,divisibility rule if 2 divides the ones place digit of a whole number then that number is divisible by 2. basically that means an even number if the digital root of 
,a whole number is divisible by 3 then the number is divisible by 3. so 3 6 9. if the last two digits of a whole number consisting of two or more digits is divisible 
,by 4 then the whole number is divisible by 4. how we identify whether it's divisible by 5 the last digit once place digit should be 0 or 5. if a whole number is divisible by both 2 and 3 then it is divisible by 6. if the digital root of a whole number is 9 then that number is divided by 9. if one's place digit of a whole number 
,is 0 then the number is divisible by 10. so remember all these rules then you can identify whether any number is divisible by these numbers now exercise 4.3 factorize so how we find out the factors we'll take the first one you can divide and find the factors two times seven and two times five three times two three times five then five times five now we can see what are the factors 1 with 150 first and the last number always a factor it's divisible by 2. two times seventy-five then three times fifty and what else five times 30 and 6 times 6 times 25 and what is 10 15 you you can get 15 10 you do 10 10 times 50. so these are the factors of 105 so when you're asked to factorize you can find out what are the possible products now we'll take 204 what are the factors you can divide and see divide by 2 divide by 2 again 
,divide by 3 and 17. so i can write 204 as 1 times 204 it's divisible by 2. so i can write 2 times 102. then three times three times six eighteen for twenty-four three times eight sixty-eight it's divisible by four times 5 and 1 51 then it's divisible by 6 6 times 3 18 for twenty four six times four what else twelve two times two four four times three twelve twelve times seventy or 17 times 12 what tips then what about these two 17 times 2 34 17 times 3 51. so all these are we have already taken 4 4 times 3 12 12 also there so those are the factors of 200 165 you can divide by 3 divided by 5 and 11. so you can write 165 as 1 times 165 then 3 times 3 times 55 then 5 times 33 and what else 11 times 15 or 15 times 11. here again when you combine you get all the other numbers so those are the factors of 165 284 you can divide by 2 again so 2 times 7 1 so 71 is a prime number so you can divide by 71 that's 1. so what are the factors 284 to 1 times 284 then 2 times 142 then 4 times 
,71 and here what else when you multiply these two you get 142 and here 142. so that's all four that's all those are the factors of 284 write down the 10 factors of 770 below 100 770 we can divide by 2. and you can divide by 5 35 again 7 divide by 7 and you get 11 and 1. so what are the factors of 770 less than 100 you can write 
,1 2 then 5 7 11 what else then 5 times 2 10 you have let's start right 10 and then 11. five times to ten seven times two fourteen then seven times five thirty five then 55 11 times 5 what else 7 times 11 77 do we need more one two three four five six seven eight nine ten you need ten factors so those are the ten factors less than hundred write five multiples of 36 36 36 times 2 72 36 times 3 108 36 times 4 144 4 times 6 24 4 times 3 12 plus 2 40. then 5 5 times 6 30 3 there 5 times 3 15 plus 3 18. so those are the 5 multiples of 36 5 multiples of 112 so you are adding 112 so starting from 112 multiplied by 2 224 multiplied by 3 336 multiplied by 4 multiplied by 5 160 5 times 2 10 1 remaining 5 times 1 5 plus 1 6 and 5 times 1 5 right 5 multiples of 53 below 500. so first number is 53 multiplied by 2 multiplied by 
